Ensembl.Gene.ID	brain_GSM752569	brain_GSM752570	cerebellum_GSM752571	cerebellum_GSM752572	heart_GSM752573	heart_GSM752575	adult mammalian kidney_GSM752576	adult mammalian kidney_GSM752578	liver_GSM752580	liver_GSM752581	testis_GSM752583	testis_GSM752585
ENSOANG00000011921	316.13786	300.36398	261.92773	516.42141	1351.09181	799.34528	755.68229	760.66847	478.07992	558.90412	625.93802	903.26531
ENSOANG00000011922	1.34455	1.46818	1.7036	1.26758	2.82608	3.42371	1.5293	3.32606	23.13673	26.24182	0.68934	0.99712
ENSOANG00000011923	9.5055	22.78139	16.34511	9.70865	15.60252	8.51094	52.72338	29.89607	13.11578	25.95468	13.31781	14.42497
ENSOANG00000011924	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011925	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011926	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011927	1.68845	2.0063	3.29032	1.69201	2.25456	0.36953	3.82766	1.10989	0.20689	0.36797	0.13153	0.50328
ENSOANG00000011928	17.48769	29.30482	54.03536	34.46225	0	0	0.20892	0	0	0	0	0.2564
ENSOANG00000011929	3.4716	5.32443	3.01861	4.4729	3.64627	2.94429	4.0755	5.54238	2.42524	2.67483	4.86394	2.88893
ENSOANG00000011930	9.16914	10.04704	7.43288	2.02525	2.44185	0.05164	0.83998	0.04431	0	0.04407	2.2023	0.51537
ENSOANG00000011932	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011933	6.92854	12.16372	11.40074	20.16431	123.28393	40.94363	17.8184	13.08975	0	4.11092	5.13905	5.10258
ENSOANG00000011934	0.6742	2.01229	0	0.52119	1.77869	4.64848	0.98252	2.84929	1.78494	0	4.25104	0.60291
ENSOANG00000011936	6.60029	4.22739	6.96355	4.56054	1.95172	1.66837	1.6174	1.67847	3.40191	0.93288	1.47302	1.48868
ENSOANG00000011937	32.05954	30.64511	40.19611	22.80803	2.52339	2.9146	1.69882	1.36427	0.47483	0.30146	40.70852	30.55429
ENSOANG00000011938	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011939	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011940	1.51708	1.50925	0.6736	3.90914	3.55724	0	5.89538	0	0	0.85011	6.37656	0.90445
ENSOANG00000011941	2.55205	2.09456	2.3796	2.56468	6.5078	2.26219	7.43828	6.90222	0.84449	0.21456	24.13478	19.85501
ENSOANG00000011942	6.54393	19.16879	23.64824	29.79064	15.45138	6.08706	188.25808	99.55549	49.16433	36.05839	0.76406	0.92115
ENSOANG00000011943	0	0	0.19456	0.45153	0	0	0	0	0	0	0	0
ENSOANG00000011944	38.48486	32.88491	38.07534	45.18174	17.1311	12.89672	47.00851	32.66199	16.90979	17.98609	98.66633	80.39829
ENSOANG00000011945	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011946	61.57398	87.6735	74.57659	89.09188	37.71729	34.68567	42.11096	35.8712	14.19394	22.29615	37.24358	45.87782
ENSOANG00000011947	25.70124	31.3292	15.68864	12.08359	9.20177	9.74588	6.82728	9.73254	4.0858	3.97472	15.64269	20.88896
ENSOANG00000011948	2.41959	1.03163	0	0	1.82364	1.36177	0	0	0	0	0	0
ENSOANG00000011949	0	0	0	0	0	0	0	0	0	0	0.33744	0.14366
ENSOANG00000011950	0.49824	0.53703	0.18431	0.12843	0.09739	0	0.0807	0.14042	0.25645	0.18619	342.5218	298.82478
ENSOANG00000011951	0.67887	0.61905	0.1507	0.17491	0.26538	0.37147	1.09928	0.89262	0.39936	0.19018	0.15839	0.33728
ENSOANG00000011952	13.42266	7.80223	16.91385	13.72203	7.30205	7.39977	15.75117	21.72403	30.18366	18.20686	57.61833	45.81338
ENSOANG00000011954	8.192	10.92415	8.12601	4.85071	3.37182	2.74662	1.52404	5.59804	2.07641	2.05112	2.19783	4.67607
ENSOANG00000011955	34.54261	66.44317	112.70901	128.61695	43.75051	55.86954	138.08732	89.72841	355.50499	370.52447	12.65395	10.91077
ENSOANG00000011956	0.08782	0	0	0	0	0	0	0	0.11624	0	0	0
ENSOANG00000011957	0.07291	0.32627	0	0	0	0	0	0.12324	0	0.12257	15.6234	52.14102
ENSOANG00000011958	32.37787	84.99005	30.91755	35.28299	1.37213	0	1.70551	0.32971	0	0	2.45951	2.61634
ENSOANG00000011959	9.22632	10.96522	30.85142	33.61176	13.72629	11.92433	9.9501	6.90776	0.62155	0.46933	9.9751	12.5634
ENSOANG00000011960	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011961	27.8251	48.48569	38.21534	30.72902	11.24598	9.87255	12.08944	21.61866	4.34648	7.26349	18.16074	17.15537
ENSOANG00000011962	0	0	0	0	0	0	0	0	0	0	0.68521	0.51024
ENSOANG00000011963	17.52554	32.27099	18.63305	18.27142	11.028	8.07622	28.11782	40.49658	17.02603	10.94694	45.955	61.8273
ENSOANG00000011964	91.45721	113.55701	79.9685	70.00286	43.07987	27.88312	35.69794	23.75826	6.2456	5.56932	40.08701	40.84858
ENSOANG00000011965	2.555	4.95659	3.82883	4.74039	1.23569	1.25817	3.35108	4.10305	1.01462	1.07376	1.87933	1.65651
ENSOANG00000011966	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011967	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011968	5.17742	9.7199	38.70956	19.23744	1.3217	0.16443	0.97345	0.14111	0	0	2.4571	0.59742
ENSOANG00000011969	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011970	101.74767	67.48187	63.71177	63.73195	23.24702	38.7142	56.2698	103.19577	66.76421	31.87035	41.66988	49.77202
ENSOANG00000011971	1.80789	1.01171	3.46175	0.87355	0.99365	0	0.32926	0.38206	0.14953	0	3.79928	1.61673
ENSOANG00000011972	30.88987	28.02623	39.99456	36.87001	5.43245	9.24871	7.20262	12.53184	5.39721	3.94663	23.37038	24.1984
ENSOANG00000011973	11.249	11.78891	11.20945	9.29346	5.7386	10.31793	9.01008	17.56351	5.68315	5.1968	13.35431	17.66181
ENSOANG00000011974	7.62847	11.64002	12.49576	8.92552	3.86771	3.92588	3.50533	3.77556	1.09161	0.80866	6.93264	7.43643
ENSOANG00000011975	0.05366	0	0	0	0	0	0.15639	0.0907	0	0	0	0.38402
ENSOANG00000011976	0	0	0.06798	0	0	0	0	0	0	0	1.50263	0.86774
ENSOANG00000011978	0.60285	0.64974	1.15996	0.82846	0.17663	0.32983	4.58789	4.13283	2.92588	4.16628	4.08232	2.48587
ENSOANG00000011979	0.10011	0.37358	0.06667	0	0	0.09859	0	0	0	0.16829	64.82404	33.62886
ENSOANG00000011981	2.54509	3.79794	5.08525	8.85371	15.6659	15.03998	22.25396	13.9821	13.05419	11.76593	9.36013	16.50088
ENSOANG00000011982	3.80494	4.87285	4.84137	4.21464	1.19852	1.45423	1.82083	2.44799	0.90206	1.14565	1.90963	2.99633
ENSOANG00000011983	3.66035	2.69259	0.82408	1.27531	0.63463	1.6248	5.10888	4.96742	2.66141	3.46669	3.25043	2.39737
ENSOANG00000011984	0	0	0	0.31512	0	0	0	0	0	0	0	0
ENSOANG00000011985	13.57381	19.86009	17.23336	22.13421	11.37636	6.05769	11.43595	8.06652	4.2812	4.01108	49.92163	54.90806
ENSOANG00000011986	252.67463	271.7509	376.2618	301.84896	45.23489	36.8496	83.69659	76.88792	21.84713	26.93218	63.49667	54.2445
ENSOANG00000011987	6.40573	8.08841	15.97159	11.61813	4.76627	2.10309	3.71019	3.95641	2.5546	2.07095	11.90883	11.16315
ENSOANG00000011988	10.19444	8.69304	19.5609	25.519	21.7706	30.12176	9.19704	12.92441	8.83534	10.40517	159.66497	88.12681
ENSOANG00000011989	0.04571	0	0	0	0.08039	0	9.85436	3.93882	0.42333	1.15212	0	0.12256
ENSOANG00000011990	11.54514	20.21424	18.01324	21.05027	17.35153	11.46152	11.5964	13.14016	5.1143	8.11911	35.76642	40.6601
