Ensembl.Gene.ID	prefrontal cortex_GSM752664	prefrontal cortex_GSM752665	prefrontal cortex_GSM752666	prefrontal cortex_GSM752667	prefrontal cortex_GSM752668	prefrontal cortex_GSM752669	cerebellum_GSM752670	cerebellum_GSM752671	heart_GSM752672	heart_GSM752673	adult mammalian kidney_GSM752674	adult mammalian kidney_GSM752675	liver_GSM752676	liver_GSM752677	testis_GSM752678
ENSPTRG00000016012	5.17627	2.345	3.10887	4.15961	7.17754	4.56454	4.33588	4.2957	2.87093	2.16991	6.8345	9.05463	7.7528	6.77209	3.10474
ENSPTRG00000016014	30.28625	15.56962	27.0144	30.6309	40.42884	24.31425	27.01871	23.64819	22.47632	28.71495	30.87748	43.8038	6.21858	6.46831	12.05284
ENSPTRG00000016015	0.26536	0.3404	0.44504	0.29189	0.48522	0.6731	0.00896	0.0827	0.06185	0.00784	0.00879	0.00642	0.00733	0.05728	3.72418
ENSPTRG00000016016	0.39773	0.07289	0.16675	0	0	0	0.2017	0	0.52116	0.07066	0.83161	2.34323	0.03303	0.17152	0.23922
ENSPTRG00000016017	16.65356	9.7632	18.22834	20.06808	30.24985	19.57836	17.46715	18.40045	2.00059	2.3619	1.28154	3.1734	0.09429	0.16326	1.03867
ENSPTRG00000016020	2.27198	5.35347	1.36066	1.78555	3.65581	3.08751	6.99551	11.37913	0.49624	0.28833	0.72726	0.17707	0	0	0.48808
ENSPTRG00000016021	0.54713	0.33424	1.7202	0	0	0.86749	0.83233	1.1934	0.31861	0.64795	0.18162	0.2653	0.07573	0	1.78231
ENSPTRG00000016022	4.80855	2.44796	2.94	3.85804	6.27966	3.97098	2.94662	2.12294	3.70516	4.50869	5.25415	6.68054	2.57925	1.87204	2.51067
ENSPTRG00000016023	6.77345	2.16871	4.87542	5.05098	7.91302	5.43427	9.27052	11.74965	4.95521	3.47961	6.42029	5.13536	2.33829	0.61581	13.55973
ENSPTRG00000016024	3.40532	4.20725	3.52901	6.84126	13.82823	4.7318	6.2674	3.18368	0.03345	0.06795	0	0.13916	0	0.08256	2.93413
ENSPTRG00000016026	15.20158	7.71034	5.11506	8.94965	19.72385	8.67156	7.14031	2.25502	0	0	0.67038	1.40789	0	0.06049	0.29527
ENSPTRG00000016027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.79475
ENSPTRG00000016029	3.88447	1.74983	2.76899	3.52574	9.14627	3.98138	0.56382	0.6848	0.00573	0.01159	0.07167	0.22835	0	0	0.03936
ENSPTRG00000016030	5.73044	4.86213	1.70546	2.14063	6.44405	3.36515	3.83895	4.29921	0	0	0.1761	0.95216	0	0	0.2659
ENSPTRG00000016031	5.60542	1.7464	6.22757	6.16762	8.23522	4.53258	4.3209	4.82139	6.07262	7.5186	7.92663	11.21413	3.21225	2.53823	16.77327
ENSPTRG00000016032	1.45324	1.28799	0.77411	1.11406	1.63336	1.18973	2.09011	1.51455	1.4257	1.894	2.77574	5.30328	1.11791	0.61649	1.52241
ENSPTRG00000016034	0.09486	0.058	0.13268	0.30458	0.18597	0.07508	0.0642	0.02951	5.48626	6.57573	0.03152	0.13808	0.01311	0	2.9017
ENSPTRG00000016035	1.76158	1.9602	2.1541	2.01897	3.16325	1.29677	3.4246	4.54876	0.60465	0.61477	1.5037	3.4022	2.31648	1.85401	23.65072
ENSPTRG00000016036	0.09627	0	0.3027	0	0	0	0.19536	0.09	0.4206	0.25661	0.47942	0.17514	0	0.10379	1.23066
ENSPTRG00000016038	0.05407	0.29701	0.11318	0.14853	0.31746	0.38543	0.10953	0.60591	0.18876	0.07198	2.20536	2.04331	1.83923	3.49388	0.20303
