Ensembl.Gene.ID	brain_GSM752631	brain_GSM752632	prefrontal cortex_GSM752633	cerebellum_GSM752634	cerebellum_GSM752635	heart_GSM752636	heart_GSM752637	adult mammalian kidney_GSM752638	adult mammalian kidney_GSM752639	liver_GSM752640	liver_GSM752641	testis_GSM752642	testis_GSM752643
ENSMMUG00000032181	5.5578	2.52416	3.41809	0.89139	3.66402	0	1.01631	1.07427	0.73198	0.35919	0.27461	155.7803	153.83607
ENSMMUG00000032182	13.57199	9.78037	12.23798	11.39859	7.80852	0.47814	4.33199	3.43427	0.38997	1.33968	0.48774	477.3928	229.86436
ENSMMUG00000032183	0	0	0	0	0	0	0	1.12176	0	0	0	0	0
ENSMMUG00000032184	1.92064	4.1867	2.98596	3.32689	3.98839	6.07884	7.23484	12.96867	11.53474	1.09228	0.30367	3.23795	1.67274
ENSMMUG00000032185	25.19551	39.65091	22.53224	32.74503	29.37286	19.20697	4.53969	9.45396	11.12649	2.68202	0.2197	28.68334	26.81895
ENSMMUG00000032186	22.71909	33.97367	22.11035	32.83558	28.39154	24.9965	7.03091	7.85008	10.91694	1.74272	0.62504	29.95523	33.01178
ENSMMUG00000032187	0	0	0.38638	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032188	0.68423	1.80788	0.13469	1.09738	0.67661	0.22105	0.25031	2.82144	0.36057	0	0.09018	9.61274	6.22993
ENSMMUG00000032189	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032190	0	0	0	0	0	0	0.65402	0	0.9421	0	0	0	0
ENSMMUG00000032191	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032192	0	0	0	0	0	0	0	0.84635	0	0.42447	0	0	0
ENSMMUG00000032193	0.58452	1.15836	0.69021	0.56251	1.15602	0.56635	0	0	1.84766	0	0	0.49273	0.46281
ENSMMUG00000032194	218.79121	145.36892	29.03953	159.95441	178.61928	520.1183	436.38539	258.34085	134.03064	163.10927	94.86533	20.01618	13.76462
ENSMMUG00000032196	0	0	0	0	0	0	0	0	0	0	0.46667	0	0
