Ensembl.Gene.ID	brain_GSM1064856	brain_GSM1064857	heart_GSM1064858	heart_GSM1064859	mesonephros_GSM1064860	mesonephros_GSM1064861	liver_GSM1064862	liver_GSM1064863	testis_GSM1064864	testis_GSM1196057	female gonad_GSM1064865	female gonad_GSM1196056
ENSXETG00000018013	4.95579	4.53658	10.24542	2.60563	11.94789	11.03023	20.48608	7.08532	4.11846	5.11223	9.894	14.37048
ENSXETG00000018015	33.88705	34.58973	15.4208	22.90851	22.98802	28.27378	10.95762	16.97885	22.34159	17.95118	45.07473	83.88512
ENSXETG00000018016	163.07773	160.83616	2.71195	0.97353	2.07873	1.49394	0.21715	0.47653	0.91875	1.62564	96.93273	103.75874
ENSXETG00000018017	0	0	0	0	0	0	0	0	0.04479	0.02568	0.02127	0
ENSXETG00000018018	8.28951	7.89601	3.3622	2.62205	4.7034	4.10211	2.25661	1.82331	6.73227	7.91444	12.48746	3.58747
ENSXETG00000018019	47.29763	48.88178	14.43432	10.71247	21.58554	17.07735	13.0937	8.64503	38.01577	23.08129	24.46399	8.12918
ENSXETG00000018020	160.20107	115.00613	10.06625	7.53344	2.20785	2.37466	0.49486	0.54296	11.25768	6.34312	0.74378	0.36554
ENSXETG00000018022	0.31609	7.11032	0	0	1.58622	0.36909	0	0	0.24725	0.34025	0	0.05274
ENSXETG00000018024	10.3058	9.30755	14.44747	13.36866	6.18678	4.74221	37.9706	52.75083	18.85311	26.17181	0.14779	0.33202
ENSXETG00000018025	0.15171	0.11902	0.1031	0.19801	0.32111	0.89667	0	0.03591	1.28146	1.95946	0	0
ENSXETG00000018026	13.07042	10.36985	7.52967	4.48213	11.01713	9.06296	5.61694	5.01317	31.37625	57.42727	39.50247	61.40184
ENSXETG00000018027	11.13134	16.52082	5.81609	4.68126	9.32028	11.79979	1.24057	1.5124	23.66995	23.01788	22.86071	24.3193
ENSXETG00000018028	4.7993	4.48357	1.00367	1.07558	1.93301	1.18072	1.08007	0.62293	23.99928	7.58489	74.36212	8.72751
ENSXETG00000018029	20.04794	12.56156	2.69086	1.03737	12.21434	10.59046	3.9078	2.5439	3.05137	4.50259	34.00427	41.16996
ENSXETG00000018031	7.69144	14.1714	4.68345	6.20154	5.0332	8.29105	2.9607	3.28672	33.21558	35.28979	49.61502	28.13896
ENSXETG00000018032	264.08417	266.11038	2.01986	2.10126	1.45623	1.08429	0.0267	0.0586	3.63187	5.69791	1.84886	3.37873
ENSXETG00000018033	0	0	0	0	137.73248	235.33972	0.02133	0.09355	0.09276	0.10638	0	0
ENSXETG00000018034	3.54529	4.09947	2.42379	3.30179	2.34073	3.26799	0.69755	0.88312	8.99033	25.70915	7.81788	9.59146
ENSXETG00000018036	0.41573	0.58622	0.32761	0.67643	0.37414	0.34824	0.14033	0.25663	1.493	1.3231	0.11282	0.14481
ENSXETG00000018037	0.04149	0.0434	0	0	0.31211	0.79883	0.46505	1.17749	1.90706	1.47292	0.2218	0.16606
ENSXETG00000018039	5.9016	4.14028	0	0.06042	0.39194	0.3648	0.1198	0.13144	0.1955	1.49473	0	0.48667
ENSXETG00000018040	0.12236	0.46084	0	0	0.50651	0.32146	0	0	0.45935	0.60588	0.0218	0
ENSXETG00000018041	12.5735	9.70565	0.02703	0.013	0.42096	0.4441	0.09008	0.0706	1.87588	8.63751	0.39886	1.95654
ENSXETG00000018044	1.61368	1.31889	0.57886	0.512	0.98051	0.78015	0.47854	0.63646	2.08258	1.61037	4.09079	4.88126
ENSXETG00000018046	0.44598	0.36291	0.67358	0.43123	0.55945	0.5641	0.51298	0.51595	4.23235	6.34729	0.3534	2.28248
ENSXETG00000018051	0.07282	0	0	0	3.15146	2.29555	0	0	0.13669	1.09733	0	0
ENSXETG00000018052	0.72376	0.70557	2.5938	1.60324	1.93448	1.69974	1.06431	0.43599	2.22321	1.32796	0.01466	0.03293
ENSXETG00000018054	1.79248	2.92102	0.2343	0.38998	1.5891	3.65246	0.29736	2.80607	63.00852	40.57359	5.37743	5.17755
ENSXETG00000018057	171.91385	157.62406	7.84861	11.60678	51.25263	28.46565	15.78987	12.0782	11.48869	9.53997	0.1544	2.16807
